instrument,estimator,variable,h,theta_25bp,lo_25bp,hi_25bp
z_gcs_1m_adj_sum,BVAR,ois1m,0,0.250000,0.250000,0.250000
z_gcs_1m_adj_sum,BVAR,ois1m,1,0.302324,0.278769,0.326127
z_gcs_1m_adj_sum,BVAR,ois1m,2,0.345822,0.308625,0.385566
z_gcs_1m_adj_sum,BVAR,ois1m,3,0.385174,0.335910,0.442236
z_gcs_1m_adj_sum,BVAR,ois1m,4,0.396004,0.332082,0.472173
z_gcs_1m_adj_sum,BVAR,ois1m,5,0.393174,0.318175,0.484203
z_gcs_1m_adj_sum,BVAR,ois1m,6,0.381708,0.294368,0.484455
z_gcs_1m_adj_sum,BVAR,ois1m,7,0.364978,0.267468,0.478477
z_gcs_1m_adj_sum,BVAR,ois1m,8,0.348358,0.241828,0.474554
z_gcs_1m_adj_sum,BVAR,ois1m,9,0.329780,0.216850,0.472826
z_gcs_1m_adj_sum,BVAR,ois1m,10,0.308949,0.191716,0.459214
z_gcs_1m_adj_sum,BVAR,ois1m,11,0.286138,0.164792,0.446438
z_gcs_1m_adj_sum,BVAR,ois1m,12,0.260312,0.129464,0.440247
z_gcs_1m_adj_sum,BVAR,ois1m,13,0.232591,0.097619,0.414765
z_gcs_1m_adj_sum,BVAR,ois1m,14,0.203729,0.064440,0.393812
z_gcs_1m_adj_sum,BVAR,ois1m,15,0.174450,0.031448,0.373127
z_gcs_1m_adj_sum,BVAR,ois1m,16,0.145736,-0.000494,0.350436
z_gcs_1m_adj_sum,BVAR,ois1m,17,0.118319,-0.033383,0.325123
z_gcs_1m_adj_sum,BVAR,ois1m,18,0.092616,-0.062002,0.304537
z_gcs_1m_adj_sum,BVAR,ois1m,19,0.068752,-0.085877,0.286315
z_gcs_1m_adj_sum,BVAR,ois1m,20,0.046738,-0.113696,0.263422
z_gcs_1m_adj_sum,BVAR,ois1m,21,0.026517,-0.133277,0.247340
z_gcs_1m_adj_sum,BVAR,ois1m,22,0.007995,-0.159500,0.222961
z_gcs_1m_adj_sum,BVAR,ois1m,23,-0.008913,-0.180356,0.203712
z_gcs_1m_adj_sum,BVAR,ois1m,24,-0.024245,-0.197395,0.193822
z_gcs_1m_adj_sum,BVAR,ois1m,25,-0.038050,-0.214158,0.185006
z_gcs_1m_adj_sum,BVAR,ois1m,26,-0.050384,-0.231792,0.176250
z_gcs_1m_adj_sum,BVAR,ois1m,27,-0.061324,-0.240410,0.162870
z_gcs_1m_adj_sum,BVAR,ois1m,28,-0.070977,-0.243340,0.154531
z_gcs_1m_adj_sum,BVAR,ois1m,29,-0.079448,-0.250629,0.143210
z_gcs_1m_adj_sum,BVAR,ois1m,30,-0.086834,-0.250980,0.130230
z_gcs_1m_adj_sum,BVAR,ois1m,31,-0.093221,-0.265256,0.118543
z_gcs_1m_adj_sum,BVAR,ois1m,32,-0.098686,-0.274961,0.110810
z_gcs_1m_adj_sum,BVAR,ois1m,33,-0.103303,-0.277354,0.103045
z_gcs_1m_adj_sum,BVAR,ois1m,34,-0.107139,-0.282354,0.096076
z_gcs_1m_adj_sum,BVAR,ois1m,35,-0.110256,-0.295653,0.086617
z_gcs_1m_adj_sum,BVAR,ois1m,36,-0.112705,-0.307987,0.081416
z_gcs_1m_adj_sum,BVAR,ois1m,37,-0.114530,-0.307684,0.076914
z_gcs_1m_adj_sum,BVAR,ois1m,38,-0.115768,-0.305798,0.066135
z_gcs_1m_adj_sum,BVAR,ois1m,39,-0.116456,-0.309036,0.063857
z_gcs_1m_adj_sum,BVAR,ois1m,40,-0.116630,-0.317909,0.059948
z_gcs_1m_adj_sum,BVAR,ois1m,41,-0.116324,-0.317860,0.056491
z_gcs_1m_adj_sum,BVAR,ois1m,42,-0.115569,-0.320781,0.052747
z_gcs_1m_adj_sum,BVAR,ois1m,43,-0.114394,-0.316558,0.047873
z_gcs_1m_adj_sum,BVAR,ois1m,44,-0.112828,-0.306384,0.044755
z_gcs_1m_adj_sum,BVAR,ois1m,45,-0.110897,-0.299286,0.050335
z_gcs_1m_adj_sum,BVAR,ois1m,46,-0.108631,-0.292450,0.048867
z_gcs_1m_adj_sum,BVAR,ois1m,47,-0.106058,-0.287368,0.048259
z_gcs_1m_adj_sum,BVAR,ois1m,48,-0.103206,-0.280664,0.051014
z_gcs_1m_adj_sum,BVAR,ip,0,0.847708,0.589541,1.122213
z_gcs_1m_adj_sum,BVAR,ip,1,1.171399,0.882288,1.501628
z_gcs_1m_adj_sum,BVAR,ip,2,1.497744,1.187053,1.884357
z_gcs_1m_adj_sum,BVAR,ip,3,1.737636,1.354727,2.196384
z_gcs_1m_adj_sum,BVAR,ip,4,1.810853,1.344059,2.355024
z_gcs_1m_adj_sum,BVAR,ip,5,1.744113,1.212811,2.383725
z_gcs_1m_adj_sum,BVAR,ip,6,1.597147,1.023599,2.347712
z_gcs_1m_adj_sum,BVAR,ip,7,1.370895,0.753851,2.185688
z_gcs_1m_adj_sum,BVAR,ip,8,1.128201,0.495894,2.001274
z_gcs_1m_adj_sum,BVAR,ip,9,0.906329,0.247761,1.851219
z_gcs_1m_adj_sum,BVAR,ip,10,0.711527,0.038144,1.702099
z_gcs_1m_adj_sum,BVAR,ip,11,0.528056,-0.197281,1.559768
z_gcs_1m_adj_sum,BVAR,ip,12,0.355543,-0.398641,1.447307
z_gcs_1m_adj_sum,BVAR,ip,13,0.185076,-0.582829,1.306502
z_gcs_1m_adj_sum,BVAR,ip,14,0.014192,-0.760310,1.152441
z_gcs_1m_adj_sum,BVAR,ip,15,-0.155078,-0.968172,0.957378
z_gcs_1m_adj_sum,BVAR,ip,16,-0.317514,-1.132243,0.780348
z_gcs_1m_adj_sum,BVAR,ip,17,-0.467180,-1.284230,0.620761
z_gcs_1m_adj_sum,BVAR,ip,18,-0.599879,-1.434481,0.445655
z_gcs_1m_adj_sum,BVAR,ip,19,-0.713995,-1.577132,0.275694
z_gcs_1m_adj_sum,BVAR,ip,20,-0.810232,-1.704437,0.190439
z_gcs_1m_adj_sum,BVAR,ip,21,-0.889797,-1.835874,0.090232
z_gcs_1m_adj_sum,BVAR,ip,22,-0.953973,-1.929309,0.010829
z_gcs_1m_adj_sum,BVAR,ip,23,-1.004374,-1.998717,-0.063430
z_gcs_1m_adj_sum,BVAR,ip,24,-1.042600,-2.068642,-0.111638
z_gcs_1m_adj_sum,BVAR,ip,25,-1.070106,-2.105367,-0.163448
z_gcs_1m_adj_sum,BVAR,ip,26,-1.088106,-2.100169,-0.215487
z_gcs_1m_adj_sum,BVAR,ip,27,-1.097488,-2.146863,-0.275005
z_gcs_1m_adj_sum,BVAR,ip,28,-1.098988,-2.188005,-0.330984
z_gcs_1m_adj_sum,BVAR,ip,29,-1.093404,-2.222005,-0.334120
z_gcs_1m_adj_sum,BVAR,ip,30,-1.081631,-2.255029,-0.308839
z_gcs_1m_adj_sum,BVAR,ip,31,-1.064608,-2.213897,-0.299017
z_gcs_1m_adj_sum,BVAR,ip,32,-1.043208,-2.232586,-0.277627
z_gcs_1m_adj_sum,BVAR,ip,33,-1.018134,-2.241984,-0.231979
z_gcs_1m_adj_sum,BVAR,ip,34,-0.989938,-2.222834,-0.223176
z_gcs_1m_adj_sum,BVAR,ip,35,-0.959085,-2.169717,-0.203980
z_gcs_1m_adj_sum,BVAR,ip,36,-0.926016,-2.103771,-0.169362
z_gcs_1m_adj_sum,BVAR,ip,37,-0.891149,-2.069616,-0.161593
z_gcs_1m_adj_sum,BVAR,ip,38,-0.854858,-2.025444,-0.144122
z_gcs_1m_adj_sum,BVAR,ip,39,-0.817443,-1.971760,-0.098303
z_gcs_1m_adj_sum,BVAR,ip,40,-0.779140,-1.945246,-0.054080
z_gcs_1m_adj_sum,BVAR,ip,41,-0.740156,-1.846313,-0.011354
z_gcs_1m_adj_sum,BVAR,ip,42,-0.700692,-1.790767,0.034396
z_gcs_1m_adj_sum,BVAR,ip,43,-0.660948,-1.739056,0.039354
z_gcs_1m_adj_sum,BVAR,ip,44,-0.621114,-1.724366,0.073135
z_gcs_1m_adj_sum,BVAR,ip,45,-0.581352,-1.711648,0.154968
z_gcs_1m_adj_sum,BVAR,ip,46,-0.541799,-1.604409,0.238795
z_gcs_1m_adj_sum,BVAR,ip,47,-0.502584,-1.558846,0.243649
z_gcs_1m_adj_sum,BVAR,ip,48,-0.463831,-1.521063,0.279185
z_gcs_1m_adj_sum,BVAR,hicp,0,0.143124,0.026651,0.246036
z_gcs_1m_adj_sum,BVAR,hicp,1,0.228568,0.079743,0.386691
z_gcs_1m_adj_sum,BVAR,hicp,2,0.278204,0.135455,0.428914
z_gcs_1m_adj_sum,BVAR,hicp,3,0.259756,0.117406,0.420118
z_gcs_1m_adj_sum,BVAR,hicp,4,0.218408,0.075138,0.385291
z_gcs_1m_adj_sum,BVAR,hicp,5,0.222256,0.066038,0.397785
z_gcs_1m_adj_sum,BVAR,hicp,6,0.250712,0.092383,0.431878
z_gcs_1m_adj_sum,BVAR,hicp,7,0.273950,0.102175,0.458317
z_gcs_1m_adj_sum,BVAR,hicp,8,0.285442,0.115864,0.473714
z_gcs_1m_adj_sum,BVAR,hicp,9,0.280109,0.116987,0.468170
z_gcs_1m_adj_sum,BVAR,hicp,10,0.270253,0.099625,0.458051
z_gcs_1m_adj_sum,BVAR,hicp,11,0.273583,0.096578,0.469048
z_gcs_1m_adj_sum,BVAR,hicp,12,0.281949,0.104748,0.486255
z_gcs_1m_adj_sum,BVAR,hicp,13,0.288208,0.113426,0.509418
z_gcs_1m_adj_sum,BVAR,hicp,14,0.286027,0.102510,0.512205
z_gcs_1m_adj_sum,BVAR,hicp,15,0.273808,0.094060,0.505195
z_gcs_1m_adj_sum,BVAR,hicp,16,0.258248,0.071046,0.506607
z_gcs_1m_adj_sum,BVAR,hicp,17,0.246384,0.047088,0.505966
z_gcs_1m_adj_sum,BVAR,hicp,18,0.238684,0.028334,0.508445
z_gcs_1m_adj_sum,BVAR,hicp,19,0.231922,0.015011,0.512717
z_gcs_1m_adj_sum,BVAR,hicp,20,0.222664,0.004003,0.517373
z_gcs_1m_adj_sum,BVAR,hicp,21,0.209901,-0.011061,0.512984
z_gcs_1m_adj_sum,BVAR,hicp,22,0.196038,-0.033921,0.512077
z_gcs_1m_adj_sum,BVAR,hicp,23,0.183912,-0.053018,0.498698
z_gcs_1m_adj_sum,BVAR,hicp,24,0.174056,-0.073575,0.489112
z_gcs_1m_adj_sum,BVAR,hicp,25,0.165167,-0.087208,0.482270
z_gcs_1m_adj_sum,BVAR,hicp,26,0.155655,-0.097159,0.465772
z_gcs_1m_adj_sum,BVAR,hicp,27,0.145012,-0.113520,0.457237
z_gcs_1m_adj_sum,BVAR,hicp,28,0.134133,-0.129493,0.448135
z_gcs_1m_adj_sum,BVAR,hicp,29,0.124213,-0.144067,0.441438
z_gcs_1m_adj_sum,BVAR,hicp,30,0.115622,-0.158840,0.439443
z_gcs_1m_adj_sum,BVAR,hicp,31,0.107867,-0.166832,0.439768
z_gcs_1m_adj_sum,BVAR,hicp,32,0.100240,-0.181471,0.439546
z_gcs_1m_adj_sum,BVAR,hicp,33,0.092464,-0.196861,0.437799
z_gcs_1m_adj_sum,BVAR,hicp,34,0.084862,-0.215019,0.430775
z_gcs_1m_adj_sum,BVAR,hicp,35,0.077938,-0.230947,0.430593
z_gcs_1m_adj_sum,BVAR,hicp,36,0.071888,-0.230826,0.436164
z_gcs_1m_adj_sum,BVAR,hicp,37,0.066516,-0.233046,0.442078
z_gcs_1m_adj_sum,BVAR,hicp,38,0.061486,-0.243205,0.448487
z_gcs_1m_adj_sum,BVAR,hicp,39,0.056629,-0.245406,0.450297
z_gcs_1m_adj_sum,BVAR,hicp,40,0.052039,-0.255701,0.438512
z_gcs_1m_adj_sum,BVAR,hicp,41,0.047914,-0.250924,0.442171
z_gcs_1m_adj_sum,BVAR,hicp,42,0.044349,-0.248110,0.454916
z_gcs_1m_adj_sum,BVAR,hicp,43,0.041270,-0.250482,0.471433
z_gcs_1m_adj_sum,BVAR,hicp,44,0.038526,-0.258509,0.476355
z_gcs_1m_adj_sum,BVAR,hicp,45,0.036027,-0.265799,0.482509
z_gcs_1m_adj_sum,BVAR,hicp,46,0.033795,-0.272691,0.482761
z_gcs_1m_adj_sum,BVAR,hicp,47,0.031906,-0.278492,0.481519
z_gcs_1m_adj_sum,BVAR,hicp,48,0.030400,-0.285856,0.479035
z_gcs_1m_adj_sum,BVAR,stoxx,0,2.479450,1.485281,3.576764
z_gcs_1m_adj_sum,BVAR,stoxx,1,3.402751,1.737796,5.270821
z_gcs_1m_adj_sum,BVAR,stoxx,2,3.474359,1.587140,5.603106
z_gcs_1m_adj_sum,BVAR,stoxx,3,3.372121,1.278493,6.007952
z_gcs_1m_adj_sum,BVAR,stoxx,4,3.205921,0.787759,6.123897
z_gcs_1m_adj_sum,BVAR,stoxx,5,2.758520,0.039257,5.908135
z_gcs_1m_adj_sum,BVAR,stoxx,6,1.948755,-1.059191,5.503189
z_gcs_1m_adj_sum,BVAR,stoxx,7,1.159500,-2.044143,4.798689
z_gcs_1m_adj_sum,BVAR,stoxx,8,0.575324,-2.718959,4.537986
z_gcs_1m_adj_sum,BVAR,stoxx,9,0.104740,-3.365425,4.087591
z_gcs_1m_adj_sum,BVAR,stoxx,10,-0.344631,-3.993597,3.587868
z_gcs_1m_adj_sum,BVAR,stoxx,11,-0.706397,-4.367816,3.319319
z_gcs_1m_adj_sum,BVAR,stoxx,12,-1.011283,-4.833972,2.946050
z_gcs_1m_adj_sum,BVAR,stoxx,13,-1.250749,-5.179787,2.841238
z_gcs_1m_adj_sum,BVAR,stoxx,14,-1.460896,-5.607553,2.712163
z_gcs_1m_adj_sum,BVAR,stoxx,15,-1.663214,-5.895514,2.489311
z_gcs_1m_adj_sum,BVAR,stoxx,16,-1.844057,-6.088684,2.237281
z_gcs_1m_adj_sum,BVAR,stoxx,17,-1.988080,-6.193971,2.028100
z_gcs_1m_adj_sum,BVAR,stoxx,18,-2.092268,-6.213792,1.917923
z_gcs_1m_adj_sum,BVAR,stoxx,19,-2.167001,-6.270860,1.775397
z_gcs_1m_adj_sum,BVAR,stoxx,20,-2.223923,-6.278950,1.676686
z_gcs_1m_adj_sum,BVAR,stoxx,21,-2.267344,-6.371251,1.644802
z_gcs_1m_adj_sum,BVAR,stoxx,22,-2.297588,-6.405528,1.588062
z_gcs_1m_adj_sum,BVAR,stoxx,23,-2.314035,-6.470822,1.650469
z_gcs_1m_adj_sum,BVAR,stoxx,24,-2.317747,-6.661038,1.787930
z_gcs_1m_adj_sum,BVAR,stoxx,25,-2.313861,-6.799546,1.804059
z_gcs_1m_adj_sum,BVAR,stoxx,26,-2.308426,-6.827915,1.798863
z_gcs_1m_adj_sum,BVAR,stoxx,27,-2.304762,-6.833282,1.778493
z_gcs_1m_adj_sum,BVAR,stoxx,28,-2.302378,-6.963653,1.715942
z_gcs_1m_adj_sum,BVAR,stoxx,29,-2.298531,-7.009235,1.644990
z_gcs_1m_adj_sum,BVAR,stoxx,30,-2.291183,-6.945167,1.502043
z_gcs_1m_adj_sum,BVAR,stoxx,31,-2.280426,-6.853630,1.461789
z_gcs_1m_adj_sum,BVAR,stoxx,32,-2.267515,-6.885838,1.389163
z_gcs_1m_adj_sum,BVAR,stoxx,33,-2.253175,-6.699006,1.328794
z_gcs_1m_adj_sum,BVAR,stoxx,34,-2.236823,-6.719345,1.229187
z_gcs_1m_adj_sum,BVAR,stoxx,35,-2.217093,-6.602853,1.153577
z_gcs_1m_adj_sum,BVAR,stoxx,36,-2.192940,-6.755283,1.101288
z_gcs_1m_adj_sum,BVAR,stoxx,37,-2.164212,-6.465593,1.107395
